Ss = 0.75,
T,Sa
0,0.24
0.05,0.39
0.1,0.54
0.12,0.6
0.15,0.6
0.2,0.6
0.25,0.6
0.3,0.6
0.35,0.6
0.4,0.6
0.45,0.6
0.5,0.6
0.55,0.6
0.57,0.6
0.6,0.6
0.65,0.553846154
0.7,0.514285714
0.75,0.48
0.8,0.45
0.85,0.423529412
0.9,0.4
0.95,0.378947368
1,0.36
1.05,0.342857143
1.1,0.327272727
1.15,0.313043478
1.2,0.3
1.25,0.288
1.3,0.276923077
1.35,0.266666667
1.4,0.257142857
1.45,0.248275862
1.5,0.24
1.55,0.232258065
1.6,0.225
1.65,0.218181818
1.7,0.211764706
1.75,0.205714286
1.8,0.2
1.85,0.194594595
1.9,0.189473684
1.95,0.184615385
2,0.18
